area_name,area_code,PC1,PC2,unemployment_rate,pct_private_rented_2021,pct_level4
Ceredigion,W06000008,0.8838376540638557,-0.6582277858424217,0.0256,0.2062,0.2792
Pembrokeshire,W06000009,-0.7821638443409559,-0.13383354427292699,0.0404,0.1643,0.2476
Carmarthenshire,W06000010,-1.3004120945672908,-0.32913760116394875,0.0373,0.1489,0.239
Swansea,W06000011,-0.4038297252215446,-0.12167990192332434,0.0386,0.1801,0.2585
Neath Port Talbot,W06000012,-2.3088912288289967,0.4001128665971008,0.045,0.1387,0.1879
Bridgend,W06000013,-1.523148064965865,0.3412607793498186,0.0456,0.1528,0.2256
Vale of Glamorgan,W06000014,-0.04124580573924596,-0.4678444647122922,0.0431,0.1563,0.2978
Cardiff,W06000015,1.4302246235217848,0.6499875825134708,0.0444,0.2429,0.3233
Rhondda Cynon Taff,W06000016,-1.749156818923142,1.05347417605066,0.0471,0.1765,0.1955
Merthyr Tydfil,W06000024,-2.540922967364912,1.5430828790764444,0.0572,0.1539,0.1775
Caerphilly,W06000018,-2.4014715508620093,0.773369147065628,0.0514,0.1332,0.1866
Blaenau Gwent,W06000019,-2.8019865000518585,2.5060241598885433,0.0687,0.1598,0.1516
Torfaen,W06000020,-2.395324335943195,0.03597322280903709,0.0478,0.1117,0.2028
Monmouthshire,W06000021,-0.2770722123095856,-1.481222837437695,0.0335,0.1364,0.3308
Newport,W06000022,-1.13223273232685,0.8433931134606196,0.0534,0.1668,0.2338
