area_name,area_code,PC1,PC2,unemployment_rate,pct_private_rented_2021,pct_level4
Scarborough,E07000168,-0.11701603923703952,0.9442219349262178,0.0425,0.2167,0.2269
Selby,E07000169,-0.7988106620002602,-1.1292994105010665,0.0348,0.1342,0.261
Barnsley,E08000016,-2.0920433042372717,1.3011567832184145,0.0513,0.1719,0.1738
Doncaster,E08000017,-1.5987674415302675,1.7845544041659964,0.0575,0.1943,0.1703
Rotherham,E08000018,-2.1678239549099354,0.9039890088905504,0.0523,0.1495,0.1739
Sheffield,E08000019,-0.38506261575207007,0.5063631833169872,0.0478,0.1872,0.2566
Bradford,E08000032,-0.46713591422384754,1.9226142906197832,0.058,0.23,0.2184
Calderdale,E08000033,-0.18872821334770346,0.7688131486035558,0.0497,0.2038,0.2498
Kirklees,E08000034,-0.5816584279806272,0.6435698509805161,0.0471,0.1907,0.2387
Leeds,E08000035,0.2574533446265007,0.7579283532094732,0.0478,0.2179,0.2694
Wakefield,E08000036,-2.194666906132728,0.7698627856073927,0.0486,0.1486,0.1835
Derby,E06000015,-0.17941794103596903,1.024544167814472,0.0519,0.2125,0.2421
Leicester,E06000016,0.30201548490118724,2.9845967015037833,0.0618,0.2939,0.2119
Nottingham,E06000018,0.5891803377904877,2.7980901724370084,0.0637,0.2861,0.2194
Rutland,E06000017,0.7239418001254121,-1.663882381279408,0.0238,0.1672,0.329
Amber Valley,E07000032,-1.4037341299901722,-0.228897154099165,0.0387,0.1463,0.2315
Bolsover,E07000033,-2.1917158575773197,1.1734159698434419,0.0467,0.1717,0.1584
Chesterfield,E07000034,-1.4779148555044408,0.4642133718681776,0.0466,0.1619,0.2102
Derbyshire Dales,E07000035,-0.07137194010515922,-1.6043536112114873,0.0268,0.144,0.3342
Erewash,E07000036,-1.2399724873228226,0.3525315478457948,0.0453,0.1683,0.2068
High Peak,E07000037,-0.1446474988111632,-0.7351774018706987,0.0382,0.1605,0.2941
North East Derbyshire,E07000038,-2.208422857614046,-0.935263911136486,0.0367,0.1002,0.2218
South Derbyshire,E07000039,-0.5704898830240853,-1.047734455414274,0.0306,0.147,0.2595
Blaby,E07000129,-1.0717493404020542,-1.4445369414428555,0.0286,0.128,0.2487
Charnwood,E07000130,-0.06934170470586469,-0.9148224789124498,0.0309,0.1737,0.2677
Harborough,E07000131,-0.023432221553430384,-2.097880515258571,0.0245,0.1346,0.3184
Hinckley and Bosworth,E07000132,-1.1053703149763712,-0.8897977435082546,0.0315,0.1439,0.2406
Melton,E07000133,-0.186394657851435,-0.9408526938963812,0.0289,0.1717,0.2615
North West Leicestershire,E07000134,-1.3378113734450714,-0.6892174244589351,0.0344,0.1351,0.2428
Oadby and Wigston,E07000135,-0.8964378695081345,-1.0043779148577545,0.0322,0.1602,0.2475
Boston,E07000136,-1.6993265685860355,1.319893898890316,0.0416,0.2029,0.1513
East Lindsey,E07000137,-1.3405799063506925,1.2196490369370323,0.0397,0.2025,0.1806
Lincoln,E07000138,0.689535324197887,1.5320421443023762,0.0494,0.2719,0.2129
North Kesteven,E07000139,-0.43185487730933586,-1.0091613702226119,0.0291,0.1601,0.2543
South Holland,E07000140,-1.9970745834665482,0.6068239988216423,0.0396,0.1706,0.1579
South Kesteven,E07000141,-0.17351187434978083,-0.5740657494201233,0.0334,0.1802,0.2564
West Lindsey,E07000142,-0.45495456630811354,-0.2832202871965293,0.0381,0.1788,0.2528
Ashfield,E07000170,-2.133850534588147,1.0726631233009194,0.047,0.1706,0.1509
Bassetlaw,E07000171,-1.550933985917996,0.1942388307981833,0.0395,0.1623,0.2024
Broxtowe,E07000172,-0.28587342084899925,-0.3606195329306512,0.0387,0.1728,0.2824
Gedling,E07000173,-0.7292353575230868,-0.2788791828215402,0.0407,0.1589,0.2533
Mansfield,E07000174,-1.728901219084194,1.081665440166727,0.046,0.1887,0.1636
Newark and Sherwood,E07000175,-0.9146197675929013,-0.39419342428742105,0.0356,0.1617,0.2416
Rushcliffe,E07000176,0.8669989060489,-2.0942135353524636,0.0275,0.1466,0.3899
"Herefordshire, County of",E06000019,-0.023318530602226346,-0.4631900982209149,0.0326,0.1884,0.2749
Shropshire,E06000051,-0.1398000119729984,-0.6190582384644334,0.0328,0.1746,0.275
Stoke-on-Trent,E06000021,-1.9828977679427247,1.9041236609238115,0.0531,0.2029,0.1547
Telford and Wrekin,E06000020,-0.5896236845566802,0.814070874200837,0.0475,0.2117,0.2092
Cannock Chase,E07000192,-1.8382420946488458,0.5547522030417383,0.0458,0.1579,0.1722
East Staffordshire,E07000193,-0.48548418340773514,0.13313279338075176,0.0382,0.1948,0.2338
Lichfield,E07000194,-0.9389063771822701,-1.3109930829314944,0.0339,0.1275,0.2842
Newcastle-under-Lyme,E07000195,-1.544096682000059,-0.43526632600220944,0.0366,0.1448,0.2249
South Staffordshire,E07000196,-1.5682023947867634,-1.3421844640021643,0.0331,0.1057,0.2509
Stafford,E07000197,-0.07686075269097055,-1.2474180504635077,0.0311,0.1555,0.3028
Staffordshire Moorlands,E07000198,-1.5834014766772375,-1.111102568736074,0.0282,0.1269,0.2374
Tamworth,E07000199,-1.9201371720431,0.18329134996111437,0.0447,0.1411,0.1742
North Warwickshire,E07000218,-1.7215457772672256,-0.19721724451573902,0.036,0.149,0.1978
Nuneaton and Bedworth,E07000219,-1.6324955522926472,0.6754290949579205,0.0474,0.1661,0.1857
Rugby,E07000220,0.12756513216867016,-0.7298038228484431,0.0359,0.1802,0.2818
Stratford-on-Avon,E07000221,0.13562926179041648,-1.9031573449250563,0.0246,0.1406,0.3338
Warwick,E07000222,1.5722716125943048,-1.2948670265285498,0.0303,0.1902,0.3844
Birmingham,E08000025,-0.5836473881390828,2.57728067310704,0.0712,0.226,0.2298
Coventry,E08000026,0.3629810589182145,1.674748629652886,0.054,0.2475,0.2305
Dudley,E08000027,-2.3461193667024416,0.6747671390697185,0.0532,0.1382,0.1917
Sandwell,E08000028,-2.5222064448839068,2.855063865965646,0.0731,0.1861,0.1536
Solihull,E08000029,-0.9796334639175293,-0.8063303830696968,0.0425,0.1285,0.2853
Walsall,E08000030,-2.53445576378556,2.1567349748961395,0.0677,0.1634,0.1689
Wolverhampton,E08000031,-1.8536434248897387,2.738710285721524,0.0785,0.1903,0.1951
Bromsgrove,E07000234,-0.9013691768563047,-1.8546710383840515,0.0305,0.1061,0.3054
Malvern Hills,E07000235,-0.12850310137150428,-1.6080618264637037,0.0316,0.1334,0.3393
Redditch,E07000236,-1.4661150334876605,0.07746302882898777,0.046,0.1441,0.207
Worcester,E07000237,0.5056392435705513,0.24801483818597872,0.0418,0.2123,0.2766
Wychavon,E07000238,-0.7193083696902983,-1.3626844425036195,0.0313,0.1306,0.2872
Wyre Forest,E07000239,-1.346102116126861,0.2377018123779948,0.042,0.1597,0.2207
Bedford,E06000055,0.23029592347542585,-0.012280632440626226,0.0445,0.191,0.2814
Central Bedfordshire,E06000056,-0.42525589465850167,-1.2273259829765162,0.0345,0.1372,0.2727
Luton,E06000032,0.8291451839414568,2.2973258705396353,0.0574,0.2899,0.2225
Peterborough,E06000031,-0.06595249603523178,1.5491838915708462,0.0506,0.2438,0.2024
Southend-on-Sea,E06000033,0.5097162694120195,1.763948075103037,0.0497,0.265,0.2183
Thurrock,E06000034,-1.3477041850943168,1.1669488613903238,0.0542,0.1828,0.1744
Cambridge,E07000008,4.334083671315577,-0.6847640606774479,0.0269,0.3143,0.4733
East Cambridgeshire,E07000009,-0.10037415150139196,-1.2004369879199368,0.0288,0.1645,0.2902
Fenland,E07000010,-1.619996437364358,1.2224079724250592,0.0423,0.1995,0.1488
Huntingdonshire,E07000011,0.07385924915903949,-1.0612251319756059,0.0316,0.1678,0.2792
South Cambridgeshire,E07000012,0.903817346861237,-2.582467380732453,0.0232,0.1401,0.401
Basildon,E07000066,-1.8960951526371654,0.18083343350841827,0.0465,0.1424,0.1863
Braintree,E07000067,-0.8994738634389543,-0.44218307934256085,0.0376,0.1507,0.222
Brentwood,E07000068,-0.07846084328393614,-1.4073235107664415,0.0315,0.1596,0.3068
Castle Point,E07000069,-2.3551096235782474,0.01727249946827797,0.0354,0.1401,0.1462
Chelmsford,E07000070,-0.13846079384542465,-1.2216229640630487,0.0341,0.1555,0.288
Colchester,E07000071,0.7727926738794768,-0.20167470695219636,0.0347,0.2153,0.2716
Epping Forest,E07000072,-0.9968531092325797,-0.7153271382415503,0.036,0.1493,0.2534
Harlow,E07000073,-1.7998170199386851,0.5790556622162486,0.0519,0.1538,0.1763
Maldon,E07000074,-1.366387984183972,-1.3342697129160914,0.0304,0.1175,0.2364
Rochford,E07000075,-1.8448095091070429,-1.3243367308284222,0.0304,0.107,0.2001
Tendring,E07000076,-1.8289288555892445,1.6876397916543509,0.0467,0.1982,0.1588
Uttlesford,E07000077,0.2542964406038729,-1.803091379981111,0.0267,0.1454,0.3194
Broxbourne,E07000095,-1.5025974520642975,0.01219774376592037,0.0418,0.1598,0.1923
Dacorum,E07000096,-0.11133237929582346,-1.2592052927298973,0.0367,0.1434,0.3093
East Hertfordshire,E07000242,0.514390376919043,-1.6913136373828717,0.0285,0.1607,0.3347
Hertsmere,E07000098,0.10360302331715393,-0.9320181470573176,0.0371,0.1727,0.308
North Hertfordshire,E07000099,0.40222830166479767,-1.4061749518384616,0.0344,0.1537,0.3442
St Albans,E07000240,1.8408960763236772,-2.503125648420504,0.0272,0.1628,0.4634
Stevenage,E07000243,-1.0296274531926928,-0.12358978486884203,0.048,0.1498,0.2208
Three Rivers,E07000102,0.04748373515405865,-1.8706247086243912,0.0318,0.1345,0.3391
Watford,E07000103,1.8974451382360953,0.34706162822604053,0.0406,0.282,0.322
Welwyn Hatfield,E07000241,0.31615414149153825,-1.2790304213364,0.033,0.1642,0.3001
Breckland,E07000143,-1.1879632207691877,0.2974040502229584,0.0351,0.1811,0.1865
Broadland,E07000144,-1.2390453717584902,-1.5037154125408434,0.0256,0.1228,0.2318
Great Yarmouth,E07000145,-1.7404871889482594,2.503399142827067,0.0606,0.215,0.1421
King's Lynn and West Norfolk,E07000146,-1.2790243937238892,0.47847022445029636,0.0366,0.1883,0.1913
North Norfolk,E07000147,-0.9898288563216031,-0.054084725822204305,0.0332,0.1765,0.2226
Norwich,E07000148,1.0910492531133311,1.4361642071377099,0.0502,0.2692,0.2773
South Norfolk,E07000149,-0.759607106089704,-1.4040537937826818,0.0273,0.1389,0.2704
Babergh,E07000200,-0.6833425547105094,-1.0509007787424862,0.0298,0.1482,0.2581
Ipswich,E07000202,-0.17399218873752056,1.7112027779394505,0.0536,0.2296,0.2063
Mid Suffolk,E07000203,-0.7783444175401639,-1.509282049484849,0.0255,0.1371,0.2644
Camden,E09000007,5.219677196717125,0.9104362232953097,0.0446,0.3559,0.5055
City of London,E09000001,8.389030954104223,0.1710248840768382,0.0296,0.4829,0.6836
Hackney,E09000012,3.247428125569881,2.65429325583334,0.0705,0.3219,0.4181
Hammersmith and Fulham,E09000013,5.132585183096852,1.177684378723208,0.0485,0.3638,0.4956
Haringey,E09000014,3.9016574420376533,2.456669656579909,0.0608,0.3557,0.4078
Islington,E09000019,3.7547636619857787,1.165644590953549,0.0543,0.3117,0.4805
Kensington and Chelsea,E09000020,6.249206940037326,1.0831764542366416,0.0431,0.3956,0.5268
Lambeth,E09000022,4.117441859749413,1.4907196999892653,0.06,0.3143,0.4662
Lewisham,E09000023,2.4166416808014977,1.5165533794442705,0.0619,0.272,0.38
Newham,E09000025,3.3386019790408454,3.8518116228430954,0.0687,0.3851,0.3014
Southwark,E09000028,2.952344142620012,1.1877234724372756,0.06,0.2867,0.4307
Tower Hamlets,E09000030,3.969222824585139,3.2231402749724025,0.0675,0.3816,0.4103
Wandsworth,E09000032,5.57051237359084,0.3869042905079014,0.0382,0.3627,0.5357
Westminster,E09000033,6.461262635100592,2.0229820858822603,0.0452,0.4331,0.5029
Barking and Dagenham,E09000002,-0.5990052077788718,2.842867450923405,0.0734,0.2421,0.2087
Barnet,E09000003,3.4484726371242207,0.8178516489934298,0.0444,0.3271,0.4034
Bexley,E09000004,-1.1329053744508326,-0.20604465952669068,0.0437,0.153,0.2177
Brent,E09000005,3.1992394915842897,2.6096398003017063,0.0579,0.3602,0.3325
Bromley,E09000006,0.46660988756356253,-0.964005038725497,0.039,0.1742,0.3308
Croydon,E09000008,1.6484598758807698,1.0442338173158852,0.0552,0.2579,0.3177
Ealing,E09000009,3.3654619708409186,1.6392802483924491,0.0521,0.3403,0.3704
Enfield,E09000010,1.2874520106819618,2.0862889336848003,0.0589,0.2926,0.2872
Greenwich,E09000011,1.281176394444206,1.4650641296141766,0.0617,0.255,0.332
Harrow,E09000015,2.492890329482535,0.570449111090564,0.0449,0.2956,0.3676
Havering,E09000016,-1.650034015147738,0.17253221664722204,0.0446,0.1582,0.1944
Hillingdon,E09000017,1.0804526085985606,0.4768619986025389,0.0435,0.2589,0.2804
Hounslow,E09000018,2.5343727641678715,0.9803002813336287,0.0464,0.3087,0.3456
Kingston upon Thames,E09000021,3.0992611806436803,-0.6312745924499478,0.0322,0.2729,0.4144
Merton,E09000024,3.196637612443009,0.24378276887618464,0.0406,0.2906,0.4109
Redbridge,E09000026,2.257873347150862,1.3768474327272582,0.0531,0.3045,0.3392
Richmond upon Thames,E09000027,3.892989352093476,-1.5914753657107885,0.0301,0.2474,0.5304
Sutton,E09000029,0.6576775724518568,-0.416373303833802,0.0391,0.2026,0.3008
Waltham Forest,E09000031,1.7905871426863487,2.1443155517992887,0.061,0.2779,0.2999
Bracknell Forest,E06000036,0.2665512666475972,-1.438563523605176,0.0338,0.1573,0.3031
Brighton and Hove,E06000043,3.576244489208343,0.8697339216680764,0.0371,0.3269,0.3686
Isle of Wight,E06000046,-0.2382644845970231,0.678177952049073,0.044,0.2066,0.2263
Medway,E06000035,-0.44068192049120875,0.8927524231360173,0.0488,0.2018,0.1913
Milton Keynes,E06000042,0.7118593835085678,0.19805738831193723,0.0476,0.2092,0.2822
Portsmouth,E06000044,1.4179637635438915,1.386955446800662,0.0425,0.2863,0.2369
Reading,E06000038,2.877316943757667,1.1978014885508637,0.0456,0.3195,0.3479
Slough,E06000039,1.7095582806984195,1.9675673822319288,0.0542,0.307,0.2584
Southampton,E06000045,1.562743200513789,1.380514443837358,0.0423,0.2919,0.2462
West Berkshire,E06000037,0.5581567319642938,-1.4899724309433229,0.0293,0.1715,0.3211
Windsor and Maidenhead,E06000040,1.5933584709231394,-1.2944846487810786,0.0316,0.206,0.384
Wokingham,E06000041,1.0141363380588426,-2.6202811188163873,0.0263,0.1414,0.3998
Eastbourne,E07000061,0.9975035979927841,1.1907454997230318,0.0408,0.2657,0.2442
Hastings,E07000062,1.1464600072989641,2.7386206359576657,0.0548,0.2861,0.2123
Lewes,E07000063,-0.005778693799879796,-0.805813232534076,0.0335,0.169,0.2942
Rother,E07000064,-0.6587798712085595,-0.5670224993424368,0.0321,0.1622,0.2546
Wealden,E07000065,-0.4065610133553892,-1.8213815624804324,0.0252,0.1348,0.2888
Basingstoke and Deane,E07000084,0.0977815838045772,-1.5110002765233659,0.0324,0.154,0.3045
East Hampshire,E07000085,0.22269194764497172,-2.2069355953296164,0.0255,0.1304,0.3387
Eastleigh,E07000086,-0.14861046275670653,-1.577479131586417,0.0302,0.1394,0.2791
Fareham,E07000087,-0.3132755291924187,-2.129818280045634,0.0261,0.1255,0.2975
Gosport,E07000088,-0.3041948120947676,0.21166985972671515,0.0424,0.1869,0.2148
Hart,E07000089,0.8753307062311264,-2.616214652918072,0.0238,0.1362,0.3749
Havant,E07000090,-1.6281695619084786,-0.5714602134347927,0.0399,0.1242,0.2228
New Forest,E07000091,-0.48813663057749845,-1.4805547270806843,0.0263,0.1434,0.2724
Rushmoor,E07000092,0.5595605165493424,-0.12416521324592018,0.0372,0.215,0.2471
Test Valley,E07000093,0.10396830901872875,-1.7861553481576549,0.0252,0.1475,0.3053
Winchester,E07000094,1.48550856029527,-2.2709591511981717,0.023,0.1759,0.4066
Ashford,E07000105,-0.2659882674532905,-0.46242293594161826,0.0363,0.1773,0.2463
Canterbury,E07000106,0.823080884314722,-0.25616563879831883,0.0305,0.2198,0.273
Dartford,E07000107,-0.3106547254491539,0.17123711574521314,0.044,0.1811,0.2205
Dover,E07000108,-0.5185257751277086,0.6508037920949188,0.0446,0.1898,0.2196
Gravesham,E07000109,-0.7120293849141893,0.9318298507024622,0.0507,0.1905,0.1996
Maidstone,E07000110,-0.14191424785471596,-0.66941498940382,0.034,0.1733,0.2563
Sevenoaks,E07000111,-0.20220705048945267,-1.8489262156914499,0.0284,0.1336,0.3198
Folkestone and Hythe,E07000112,0.2327458178036354,1.3014487619737583,0.0459,0.2249,0.2177
Swale,E07000113,-1.1725210450214647,0.8348670533158552,0.046,0.1835,0.1892
Thanet,E07000114,0.10242686405732933,2.6087927256316004,0.0567,0.2626,0.1961
Tonbridge and Malling,E07000115,-0.734072142620434,-1.6480531593181582,0.0298,0.125,0.271
Tunbridge Wells,E07000116,1.1882342948478304,-1.2045194507706445,0.0295,0.1922,0.3464
Cherwell,E07000177,0.48870511411644657,-0.8394753824064682,0.0284,0.1978,0.2806
Oxford,E07000178,4.054724818966686,0.08281783344053487,0.0321,0.3215,0.4259
South Oxfordshire,E07000179,0.8254849806215883,-2.0368543496320184,0.0252,0.1591,0.3671
Vale of White Horse,E07000180,0.8480774120606225,-2.0453720803377045,0.025,0.1566,0.3721
West Oxfordshire,E07000181,0.7684781743159899,-1.701017053752797,0.0227,0.1786,0.3291
Elmbridge,E07000207,1.8835523252113469,-2.2222225969543903,0.0267,0.175,0.4385
Epsom and Ewell,E07000208,0.8366559974393452,-1.9366714973981591,0.0273,0.1612,0.3598
Guildford,E07000209,1.7259893938162596,-1.790674034997354,0.0269,0.196,0.3952
Mole Valley,E07000210,0.685513415991273,-2.34432125114918,0.0252,0.141,0.3794
Reigate and Banstead,E07000211,0.5513990167843901,-1.7628706098236897,0.0292,0.1568,0.3396
Runnymede,E07000212,0.6068858158913356,-1.1934272707973066,0.0273,0.1909,0.2992
Spelthorne,E07000213,-0.21975884497425735,-0.8672386500321114,0.0326,0.1791,0.2595
Surrey Heath,E07000214,0.6484165150694761,-2.061433642369347,0.0277,0.1536,0.3447
Tandridge,E07000215,0.08080944182509732,-2.068755128248695,0.0277,0.1328,0.3297
Waverley,E07000216,0.9055636241907792,-2.5374542436598846,0.0242,0.1469,0.4014
Woking,E07000217,1.6217063478821234,-1.2953005564895805,0.0322,0.2109,0.3836
Adur,E07000223,-1.3312879393599895,-0.5913759265666819,0.0334,0.148,0.2199
Arun,E07000224,-0.5930427769851504,-0.16400794674045782,0.0334,0.182,0.2277
Chichester,E07000225,0.5452226553656859,-1.237516510905097,0.028,0.1812,0.3239
Crawley,E07000226,-0.24992578583009584,0.19034687887098894,0.0451,0.1981,0.2154
Horsham,E07000227,0.3078160591615942,-2.008259821361256,0.0271,0.1452,0.3261
Mid Sussex,E07000228,0.6834164677277935,-2.182720124694836,0.0243,0.1533,0.3363
Worthing,E07000229,0.6120229983646286,0.07001231316497217,0.0347,0.2204,0.2596
Bath and North East Somerset,E06000022,1.1181944369193169,-1.2691929602653338,0.0272,0.1932,0.334
