area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021
Richmondshire,E07000166,38652,1116,0.0289,20207,4519,0.2236,42698,7925,11513,0.1856,0.2696,20946,4866,0.2323
Ryedale,E07000167,37581,1029,0.0274,22524,3773,0.1675,43200,10369,11793,0.24,0.273,24715,4841,0.1959
Scarborough,E07000168,79393,3371,0.0425,49435,9640,0.195,91402,23755,20742,0.2599,0.2269,51124,11081,0.2167
Selby,E07000169,61831,2154,0.0348,34559,3796,0.1098,68135,14431,17786,0.2118,0.261,39562,5310,0.1342
Barnsley,E08000016,170405,8738,0.0513,100734,12856,0.1276,188335,60890,32724,0.3233,0.1738,108053,18569,0.1719
Doncaster,E08000017,220877,12697,0.0575,126487,18774,0.1484,244909,74119,41714,0.3026,0.1703,133480,25941,0.1943
Rotherham,E08000018,187959,9821,0.0523,108293,12262,0.1132,208018,62076,36165,0.2984,0.1739,113926,17035,0.1495
Sheffield,E08000019,411004,19626,0.0478,229928,35760,0.1555,452014,109841,116007,0.243,0.2566,231948,43424,0.1872
Bradford,E08000032,366217,21224,0.058,199296,36070,0.181,400121,110892,87397,0.2771,0.2184,209867,48278,0.23
Calderdale,E08000033,148766,7394,0.0497,88621,14545,0.1641,163645,38943,40881,0.238,0.2498,90476,18437,0.2038
Kirklees,E08000034,307194,14465,0.0471,173525,26941,0.1553,336309,85554,80275,0.2544,0.2387,177989,33942,0.1907
Leeds,E08000035,560849,26786,0.0478,320596,57456,0.1792,613992,142481,165429,0.2321,0.2694,341466,74402,0.2179
Wakefield,E08000036,240997,11702,0.0486,140414,16017,0.1141,265797,82621,48772,0.3108,0.1835,153075,22754,0.1486
Derby,E06000015,179291,9297,0.0519,102271,17193,0.1681,198076,47731,47955,0.241,0.2421,105651,22453,0.2125
Leicester,E06000016,242232,14982,0.0618,123125,27999,0.2274,260560,74409,55223,0.2856,0.2119,127389,37437,0.2939
Nottingham,E06000018,232072,14775,0.0637,126131,29098,0.2307,250104,63991,54875,0.2559,0.2194,124743,35688,0.2861
Rutland,E06000017,27052,643,0.0238,15002,2333,0.1555,30683,5453,10096,0.1777,0.329,16691,2790,0.1672
Amber Valley,E07000032,90558,3503,0.0387,52596,6200,0.1179,100841,27220,23346,0.2699,0.2315,56277,8235,0.1463
Bolsover,E07000033,55945,2612,0.0467,32801,4276,0.1304,62192,20455,9853,0.3289,0.1584,35262,6056,0.1717
Chesterfield,E07000034,76409,3557,0.0466,46796,5813,0.1242,85595,23618,17994,0.2759,0.2102,48058,7781,0.1619
Derbyshire Dales,E07000035,51978,1394,0.0268,30744,3860,0.1256,59299,12773,19816,0.2154,0.3342,32283,4650,0.144
Erewash,E07000036,82609,3742,0.0453,48692,6265,0.1287,91948,23808,19015,0.2589,0.2068,50336,8470,0.1683
High Peak,E07000037,67389,2576,0.0382,38946,5231,0.1343,74416,15520,21884,0.2086,0.2941,40772,6545,0.1605
North East Derbyshire,E07000038,73460,2697,0.0367,43070,3183,0.0739,82699,22277,18340,0.2694,0.2218,45987,4608,0.1002
South Derbyshire,E07000039,69450,2125,0.0306,38992,5087,0.1305,75910,16707,19701,0.2201,0.2595,45239,6648,0.147
Blaby,E07000129,68558,1963,0.0286,38686,3876,0.1002,76334,16964,18988,0.2222,0.2487,42575,5449,0.128
Charnwood,E07000130,124967,3864,0.0309,66516,9396,0.1413,137878,28265,36916,0.205,0.2677,73785,12814,0.1737
Harborough,E07000131,61913,1517,0.0245,34898,3922,0.1124,69034,12461,21982,0.1805,0.3184,40414,5439,0.1346
Hinckley and Bosworth,E07000132,77716,2448,0.0315,45377,5156,0.1136,86475,21089,20803,0.2439,0.2406,49445,7114,0.1439
Melton,E07000133,36955,1067,0.0289,21490,3054,0.1421,41237,8808,10785,0.2136,0.2615,22599,3881,0.1717
North West Leicestershire,E07000134,68556,2361,0.0344,39128,4411,0.1127,75791,19691,18402,0.2598,0.2428,44974,6074,0.1351
Oadby and Wigston,E07000135,40797,1314,0.0322,21339,2117,0.0992,46359,10461,11476,0.2257,0.2475,22616,3623,0.1602
Boston,E07000136,47306,1969,0.0416,27291,4291,0.1572,53275,17421,8060,0.327,0.1513,29404,5965,0.2029
East Lindsey,E07000137,99928,3966,0.0397,60890,10554,0.1733,115418,37648,20849,0.3262,0.1806,64754,13110,0.2025
Lincoln,E07000138,71577,3533,0.0494,39825,8345,0.2095,78190,17134,16644,0.2191,0.2129,42506,11558,0.2719
North Kesteven,E07000139,78616,2290,0.0291,45972,6184,0.1345,88700,19289,22559,0.2175,0.2543,50989,8164,0.1601
South Holland,E07000140,63920,2532,0.0396,37264,4714,0.1265,73354,22628,11586,0.3085,0.1579,40703,6943,0.1706
South Kesteven,E07000141,97319,3248,0.0334,57344,8389,0.1463,109085,23608,27974,0.2164,0.2564,62847,11325,0.1802
West Lindsey,E07000142,65531,2497,0.0381,38385,5253,0.1369,73753,16963,18642,0.23,0.2528,42345,7570,0.1788
Ashfield,E07000170,88037,4140,0.047,50931,6504,0.1277,96698,30345,14595,0.3138,0.1509,54509,9297,0.1706
Bassetlaw,E07000171,83305,3294,0.0395,47667,5975,0.1253,92702,26393,18761,0.2847,0.2024,51458,8351,0.1623
Broxtowe,E07000172,81573,3156,0.0387,46820,6594,0.1408,90938,21031,25678,0.2313,0.2824,48362,8355,0.1728
Gedling,E07000173,83284,3391,0.0407,49349,6488,0.1315,93186,21980,23601,0.2359,0.2533,51551,8191,0.1589
Mansfield,E07000174,77155,3547,0.046,44928,6115,0.1361,85448,25944,13978,0.3036,0.1636,48031,9065,0.1887
Newark and Sherwood,E07000175,84145,2995,0.0356,48773,6278,0.1287,93957,23550,22698,0.2506,0.2416,53332,8624,0.1617
Rushcliffe,E07000176,80755,2222,0.0275,45835,6082,0.1327,90551,14835,35307,0.1638,0.3899,49883,7312,0.1466
"Herefordshire, County of",E06000019,133442,4353,0.0326,78319,12147,0.1551,151962,34845,41779,0.2293,0.2749,82827,15605,0.1884
Shropshire,E06000051,223892,7350,0.0328,129674,19421,0.1498,252979,56943,69558,0.2251,0.275,139579,24367,0.1746
Stoke-on-Trent,E06000021,182808,9715,0.0531,107575,15440,0.1435,200642,67773,31041,0.3378,0.1547,110400,22400,0.2029
Telford and Wrekin,E06000020,122279,5806,0.0475,66608,9979,0.1498,132440,32612,27713,0.2462,0.2092,76509,16197,0.2117
Cannock Chase,E07000192,72274,3311,0.0458,40664,4938,0.1214,79027,22278,13606,0.2819,0.1722,43456,6862,0.1579
East Staffordshire,E07000193,83059,3171,0.0382,47251,7152,0.1514,91821,22671,21466,0.2469,0.2338,51293,9992,0.1948
Lichfield,E07000194,74757,2531,0.0339,41224,3932,0.0954,83057,18622,23604,0.2242,0.2842,45632,5817,0.1275
Newcastle-under-Lyme,E07000195,92335,3378,0.0366,52574,5511,0.1048,102813,27529,23121,0.2678,0.2249,53423,7735,0.1448
South Staffordshire,E07000196,80718,2670,0.0331,44458,3772,0.0848,90506,21699,22707,0.2398,0.2509,46121,4873,0.1057
Stafford,E07000197,97297,3028,0.0311,55703,7206,0.1294,108626,22150,32887,0.2039,0.3028,60047,9336,0.1555
Staffordshire Moorlands,E07000198,72085,2031,0.0282,41772,4103,0.0982,81106,21560,19255,0.2658,0.2374,42355,5373,0.1269
Tamworth,E07000199,56833,2541,0.0447,31617,3476,0.1099,61467,16467,10706,0.2679,0.1742,32895,4643,0.1411
North Warwickshire,E07000218,46170,1662,0.036,25812,2913,0.1129,51049,14253,10096,0.2792,0.1978,27581,4110,0.149
Nuneaton and Bedworth,E07000219,92090,4363,0.0474,52711,6683,0.1268,101244,28384,18801,0.2804,0.1857,56585,9399,0.1661
Rugby,E07000220,72759,2613,0.0359,41875,5903,0.141,80689,15778,22735,0.1955,0.2818,47015,8474,0.1802
Stratford-on-Avon,E07000221,87728,2154,0.0246,51928,6596,0.127,100042,19345,33396,0.1934,0.3338,59463,8363,0.1406
Warwick,E07000222,102883,3118,0.0303,58679,10513,0.1792,114051,18691,43836,0.1639,0.3844,62618,11910,0.1902
Birmingham,E08000025,760252,54114,0.0712,410736,73405,0.1787,828363,233835,190335,0.2823,0.2298,423455,95719,0.226
Coventry,E08000026,231871,12532,0.054,128592,26503,0.2061,254106,60799,58566,0.2393,0.2305,134140,33195,0.2475
Dudley,E08000027,226726,12064,0.0532,129867,12004,0.0924,253421,75980,48584,0.2998,0.1917,137069,18940,0.1382
Sandwell,E08000028,219508,16049,0.0731,121498,15674,0.129,241829,85040,37151,0.3517,0.1536,130246,24237,0.1861
Solihull,E08000029,148360,6304,0.0425,86056,8502,0.0988,167493,38035,47783,0.2271,0.2853,89482,11496,0.1285
Walsall,E08000030,191974,13006,0.0677,107822,12569,0.1166,213123,71839,35989,0.3371,0.1689,112226,18336,0.1634
Wolverhampton,E08000031,179983,14127,0.0785,102177,13455,0.1317,200047,62467,39021,0.3123,0.1951,105142,20006,0.1903
Bromsgrove,E07000234,67807,2070,0.0305,38290,3370,0.088,77107,16413,23551,0.2129,0.3054,41264,4379,0.1061
Malvern Hills,E07000235,53512,1690,0.0316,32212,3720,0.1155,62219,12637,21113,0.2031,0.3393,34889,4653,0.1334
Redditch,E07000236,62523,2877,0.046,34722,4059,0.1169,67656,16996,14007,0.2512,0.207,36378,5243,0.1441
Worcester,E07000237,73382,3071,0.0418,42042,7645,0.1818,80291,17116,22211,0.2132,0.2766,44724,9494,0.2123
Wychavon,E07000238,85481,2675,0.0313,49466,5419,0.1095,97039,21458,27870,0.2211,0.2872,57356,7493,0.1306
Wyre Forest,E07000239,72331,3041,0.042,42985,5660,0.1317,81190,22579,17916,0.2781,0.2207,45320,7239,0.1597
Bedford,E06000055,113764,5060,0.0445,63812,10110,0.1584,125871,25645,35417,0.2037,0.2814,74949,14316,0.191
Central Bedfordshire,E06000056,186658,6443,0.0345,104399,12612,0.1208,204602,39644,55793,0.1938,0.2727,120754,16567,0.1372
Luton,E06000032,145208,8337,0.0574,74293,16816,0.2263,156445,36953,34814,0.2362,0.2225,78940,22887,0.2899
Peterborough,E06000031,132318,6691,0.0506,74023,14168,0.1914,144495,36158,29245,0.2502,0.2024,84533,20612,0.2438
Southend-on-Sea,E06000033,125007,6209,0.0497,74678,16439,0.2201,140621,34621,30691,0.2462,0.2183,78344,20759,0.265
Thurrock,E06000034,114124,6190,0.0542,62353,8772,0.1407,123407,32643,21519,0.2645,0.1744,66377,12131,0.1828
Cambridge,E07000008,98283,2641,0.0269,46714,12258,0.2624,106007,12606,50169,0.1189,0.4733,52474,16495,0.3143
East Cambridgeshire,E07000009,60714,1747,0.0288,34614,4576,0.1322,67481,14127,19583,0.2093,0.2902,37202,6120,0.1645
Fenland,E07000010,69258,2931,0.0423,40620,6341,0.1561,78482,24523,11677,0.3125,0.1488,44083,8795,0.1995
Huntingdonshire,E07000011,125346,3957,0.0316,69333,9770,0.1409,137157,26361,38301,0.1922,0.2792,76880,12897,0.1678
South Cambridgeshire,E07000012,107779,2499,0.0232,59960,7174,0.1196,119342,18248,47852,0.1529,0.401,66996,9383,0.1401
Basildon,E07000066,125795,5846,0.0465,72746,7448,0.1024,139198,37084,25939,0.2664,0.1863,76363,10876,0.1424
Braintree,E07000067,106718,4014,0.0376,61043,8083,0.1324,118098,26958,26212,0.2283,0.222,64983,9795,0.1507
Brentwood,E07000068,52959,1667,0.0315,30646,3452,0.1126,60115,11651,18441,0.1938,0.3068,32343,5163,0.1596
Castle Point,E07000069,64626,2289,0.0354,36440,3968,0.1089,73142,21885,10693,0.2992,0.1462,37389,5240,0.1401
Chelmsford,E07000070,123693,4223,0.0341,69667,8349,0.1198,137003,25844,39452,0.1886,0.288,75401,11724,0.1555
Colchester,E07000071,128562,4456,0.0347,71634,13390,0.1869,141427,27440,38412,0.194,0.2716,79711,17165,0.2153
Epping Forest,E07000072,90622,3259,0.036,51991,5742,0.1104,101708,24360,25769,0.2395,0.2534,54559,8147,0.1493
Harlow,E07000073,58669,3043,0.0519,34620,3756,0.1085,65061,16948,11468,0.2605,0.1763,37856,5824,0.1538
Maldon,E07000074,45406,1381,0.0304,25817,2493,0.0966,50804,11749,12009,0.2313,0.2364,27900,3279,0.1175
Rochford,E07000075,60425,1836,0.0304,33564,2844,0.0847,68271,16134,13659,0.2363,0.2001,35558,3805,0.107
Tendring,E07000076,97050,4533,0.0467,62105,10064,0.162,115495,39616,18340,0.343,0.1588,67452,13370,0.1982
Uttlesford,E07000077,57086,1527,0.0267,31316,4108,0.1312,63399,11232,20251,0.1772,0.3194,36955,5375,0.1454
Broxbourne,E07000095,67599,2825,0.0418,37658,4199,0.1115,74850,19122,14394,0.2555,0.1923,39850,6367,0.1598
Dacorum,E07000096,104410,3829,0.0367,59938,7107,0.1186,115983,21768,35872,0.1877,0.3093,63412,9093,0.1434
East Hertfordshire,E07000242,100093,2849,0.0285,56577,7446,0.1316,110139,18959,36867,0.1721,0.3347,62023,9967,0.1607
Hertsmere,E07000098,71511,2650,0.0371,39778,4981,0.1252,79841,15502,24588,0.1942,0.308,42682,7370,0.1727
North Hertfordshire,E07000099,91510,3145,0.0344,53426,6993,0.1309,102388,18416,35242,0.1799,0.3442,56733,8722,0.1537
St Albans,E07000240,99863,2715,0.0272,56140,7624,0.1358,110590,14268,51251,0.129,0.4634,58990,9602,0.1628
Stevenage,E07000243,60988,2925,0.048,34898,3980,0.114,66866,14390,14762,0.2152,0.2208,36512,5470,0.1498
Three Rivers,E07000102,62440,1984,0.0318,35108,3708,0.1056,69819,12261,23675,0.1756,0.3391,36857,4956,0.1345
Watford,E07000103,66285,2692,0.0406,36681,7371,0.2009,71693,12513,23082,0.1745,0.322,39629,11177,0.282
Welwyn Hatfield,E07000241,81514,2687,0.033,43613,5911,0.1355,90369,15550,27123,0.1721,0.3001,46209,7586,0.1642
Breckland,E07000143,94176,3302,0.0351,54519,8294,0.1521,107507,30057,20046,0.2796,0.1865,60358,10930,0.1811
Broadland,E07000144,90305,2314,0.0256,53336,5519,0.1035,103657,23744,24026,0.2291,0.2318,57760,7095,0.1228
