area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021
Brighton and Hove,E06000043,210792,7818,0.0371,121540,35959,0.2959,229024,36775,84423,0.1606,0.3686,121402,39684,0.3269
Isle of Wight,E06000046,99747,4386,0.044,61085,10639,0.1742,115589,28078,26163,0.2429,0.2263,64775,13380,0.2066
Medway,E06000035,194158,9469,0.0488,106209,18153,0.1709,210511,48226,40275,0.2291,0.1913,111457,22491,0.2018
Milton Keynes,E06000042,181385,8640,0.0476,98584,17066,0.1731,193429,34850,54591,0.1802,0.2822,113103,23656,0.2092
Portsmouth,E06000044,153705,6536,0.0425,85473,21098,0.2468,167256,35405,39630,0.2117,0.2369,86155,24669,0.2863
Reading,E06000038,116808,5329,0.0456,62869,16394,0.2608,125582,21834,43690,0.1739,0.3479,67683,21623,0.3195
Slough,E06000039,100458,5440,0.0542,50766,12348,0.2432,106645,21434,27560,0.201,0.2584,52423,16095,0.307
Southampton,E06000045,180201,7631,0.0423,98254,24449,0.2488,195534,40991,48145,0.2096,0.2462,102290,29860,0.2919
West Berkshire,E06000037,112054,3279,0.0293,62340,8555,0.1372,122731,21065,39406,0.1716,0.3211,66658,11431,0.1715
Windsor and Maidenhead,E06000040,104247,3292,0.0316,58349,9432,0.1616,115900,18134,44500,0.1565,0.384,60929,12553,0.206
Wokingham,E06000041,112273,2958,0.0263,60332,6755,0.112,123010,16226,49184,0.1319,0.3998,69165,9782,0.1414
Eastbourne,E07000061,70473,2874,0.0408,45012,10494,0.2331,82691,19215,20194,0.2324,0.2442,45610,12118,0.2657
Hastings,E07000062,66036,3621,0.0548,41159,11863,0.2882,73488,18649,15604,0.2538,0.2123,40451,11572,0.2861
Lewes,E07000063,69269,2319,0.0335,42181,6108,0.1448,80534,17276,23690,0.2145,0.2942,43688,7384,0.169
Rother,E07000064,62861,2019,0.0321,40877,5742,0.1405,76359,18858,19438,0.247,0.2546,42102,6827,0.1622
Wealden,E07000065,105879,2670,0.0252,62676,6973,0.1113,122443,24347,35360,0.1988,0.2888,68266,9203,0.1348
