area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021,latitude,longitude,region
Sunderland,E08000024,205552,12016,0.0585,119758,14552,0.1215,227314,66036,41337,0.2905,0.1818,122177,18096,0.1481,54.906,-1.382,North East (England)
Blackburn with Darwen,E06000008,104417,5575,0.0534,57353,8993,0.1568,113122,32485,22416,0.2872,0.1982,58767,11850,0.2016,54.694,-1.22,North West (England)
Blackpool,E06000009,103813,6337,0.061,64367,16770,0.2605,116699,36559,18098,0.3133,0.1551,64783,20569,0.3175,54.786,-1.574,North West (England)
Cheshire East,E06000049,270953,8742,0.0323,159441,19938,0.125,304374,59806,97248,0.1965,0.3195,174854,27114,0.1551,51.502,-0.5,North West (England)
Cheshire West and Chester,E06000050,243155,8949,0.0368,141442,17734,0.1254,271473,56940,79712,0.2097,0.2936,155154,24384,0.1572,51.43,-0.585,North West (England)
Halton,E06000006,92708,5151,0.0556,53312,5212,0.0978,100819,27126,17792,0.2691,0.1765,55951,8018,0.1433,54.527,-1.558,North West (England)
Warrington,E06000007,149461,5961,0.0399,85140,9549,0.1122,163477,33815,44870,0.2068,0.2745,90538,13773,0.1521,54.652,-1.459,North West (England)
Allerdale,E07000026,70978,2553,0.036,42345,4142,0.0978,80155,21636,18254,0.2699,0.2277,43973,5363,0.122,53.194,-2.892,North West (England)
Barrow-in-Furness,E07000027,51103,2365,0.0463,31224,4442,0.1423,56796,14422,10785,0.2539,0.1899,31259,5259,0.1682,53.23,-2.522,North West (England)
Carlisle,E07000028,79531,2847,0.0358,48342,6914,0.143,89042,22164,19766,0.2489,0.222,50663,8900,0.1757,53.09,-2.444,North West (England)
Copeland,E07000029,52702,2235,0.0424,30536,2665,0.0873,58613,15800,12307,0.2696,0.21,30788,3399,0.1104,53.167,-2.741,North West (England)
Eden,E07000030,38735,822,0.0212,23043,3685,0.1599,43976,9968,12059,0.2267,0.2742,24613,4452,0.1809,53.105,-2.619,North West (England)
South Lakeland,E07000031,75831,1524,0.0201,46552,6633,0.1425,87777,16583,29277,0.1889,0.3335,47657,7974,0.1673,53.11,-2.999,North West (England)
Bolton,E08000001,200723,9913,0.0494,116371,15930,0.1369,219710,57888,48688,0.2635,0.2216,118790,21372,0.1799,53.503,-2.1,North West (England)
Bury,E08000002,134687,5769,0.0428,78113,10774,0.1379,147935,33377,37989,0.2256,0.2568,80696,14249,0.1766,53.55,-2.302,North West (England)
