area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021,latitude,longitude,region
Welwyn Hatfield,E07000241,81514,2687,0.033,43613,5911,0.1355,90369,15550,27123,0.1721,0.3001,46209,7586,0.1642,51.36,-0.8,East of England
Breckland,E07000143,94176,3302,0.0351,54519,8294,0.1521,107507,30057,20046,0.2796,0.1865,60358,10930,0.1811,52.75,-1.93,East of England
Broadland,E07000144,90305,2314,0.0256,53336,5519,0.1035,103657,23744,24026,0.2291,0.2318,57760,7095,0.1228,52.7,-1.9,East of England
Great Yarmouth,E07000145,70234,4258,0.0606,42079,6926,0.1646,79748,26164,11336,0.3281,0.1421,44545,9576,0.215,52.66,-1.87,East of England
King's Lynn and West Norfolk,E07000146,106591,3901,0.0366,62977,9278,0.1473,122639,35909,23455,0.2928,0.1913,67464,12704,0.1883,52.62,-1.84,East of England
North Norfolk,E07000147,72453,2404,0.0332,46046,6664,0.1447,86830,23838,19326,0.2745,0.2226,48374,8538,0.1765,52.58,-1.81,East of England
Norwich,E07000148,100702,5060,0.0502,60319,13089,0.217,110805,25073,30722,0.2263,0.2773,64457,17351,0.2692,52.54,-1.76,East of England
South Norfolk,E07000149,89337,2439,0.0273,52809,5916,0.112,101717,22953,27501,0.2257,0.2704,61381,8527,0.1389,52.5,-1.7,East of England
Babergh,E07000200,63075,1879,0.0298,37522,4714,0.1256,71821,16367,18539,0.2279,0.2581,40200,5959,0.1482,52.46,-1.06,East of England
Ipswich,E07000202,97167,5212,0.0536,57298,11421,0.1993,107396,27723,22152,0.2581,0.2063,59507,13664,0.2296,52.059,1.155,East of England
Mid Suffolk,E07000203,70073,1789,0.0255,40306,4515,0.112,78907,17621,20864,0.2233,0.2644,44344,6079,0.1371,52.178,0.983,East of England
Camden,E09000007,173833,7755,0.0446,97534,31434,0.3223,184873,23451,93453,0.1268,0.5055,92758,33012,0.3559,51.461,-0.148,London
City of London,E09000001,6307,187,0.0296,4385,1573,0.3587,6755,454,4618,0.0672,0.6836,4914,2373,0.4829,51.516,-0.098,London
Hackney,E09000012,187423,13207,0.0705,101690,29449,0.2896,195145,38172,81591,0.1956,0.4181,106081,34147,0.3219,51.584,-0.045,London
Hammersmith and Fulham,E09000013,145552,7060,0.0485,80590,25555,0.3171,152863,19515,75765,0.1277,0.4956,81244,29558,0.3638,51.608,-0.07,London
Haringey,E09000014,193062,11730,0.0608,101955,32095,0.3148,202856,36163,82727,0.1783,0.4078,105091,37376,0.3557,51.555,-0.101,London
Islington,E09000019,165149,8960,0.0543,93556,25217,0.2695,173300,29448,83276,0.1699,0.4805,96496,30079,0.3117,51.476,-0.02,London
Kensington and Chelsea,E09000020,126080,5433,0.0431,78536,28108,0.3579,134267,13549,70731,0.1009,0.5268,66884,26460,0.3956,51.497,-0.054,London
Lambeth,E09000022,237730,14255,0.06,130017,38133,0.2933,248300,35352,115758,0.1424,0.4662,134688,42329,0.3143,51.456,-0.115,London
Lewisham,E09000023,206255,12776,0.0619,116091,28216,0.2431,218749,38763,83127,0.1772,0.38,122393,33289,0.272,51.46,-0.022,London
Newham,E09000025,228958,15734,0.0687,101519,34570,0.3405,238090,49087,71771,0.2062,0.3014,115511,44479,0.3851,51.582,-0.08,London
Southwark,E09000028,224551,13484,0.06,120422,28493,0.2366,234901,38384,101172,0.1634,0.4307,130820,37506,0.2867,51.49,-0.08,London
Tower Hamlets,E09000030,196552,13259,0.0675,101257,32964,0.3255,203953,40719,83675,0.1996,0.4103,120539,46000,0.3816,51.512,-0.198,London
Wandsworth,E09000032,243533,9311,0.0382,130493,41317,0.3166,255989,29622,137142,0.1157,0.5357,137392,49830,0.3627,51.541,-0.168,London
Westminster,E09000033,175505,7941,0.0452,105772,41949,0.3966,186812,23943,93946,0.1282,0.5029,94816,41065,0.4331,51.422,-0.115,London
Barking and Dagenham,E09000002,127568,9367,0.0734,69681,12328,0.1769,137613,38396,28715,0.279,0.2087,73902,17890,0.2421,51.55,-0.058,London
Barnet,E09000003,258443,11476,0.0444,135916,34854,0.2564,282152,43833,113815,0.1554,0.4034,148917,48705,0.3271,51.529,-0.02,London
Bexley,E09000004,165914,7245,0.0437,92604,10556,0.114,184431,42366,40146,0.2297,0.2177,95300,14578,0.153,51.57,-0.045,London
Brent,E09000005,233726,13535,0.0579,110286,33181,0.3009,248458,47721,82619,0.1921,0.3325,118612,42726,0.3602,51.605,-0.175,London
Bromley,E09000006,222539,8668,0.039,130862,17393,0.1329,248806,44572,82304,0.1791,0.3308,135828,23661,0.1742,51.477,-0.203,London
Croydon,E09000008,263048,14512,0.0552,145010,30472,0.2101,284268,50081,90321,0.1762,0.3177,152945,39441,0.2579,51.464,-0.105,London
Ealing,E09000009,252764,13158,0.0521,124082,34182,0.2755,269572,44366,99836,0.1646,0.3704,133657,45490,0.3403,51.453,-0.06,London
Enfield,E09000010,224024,13192,0.0589,119916,26591,0.2217,242465,55736,69627,0.2299,0.2872,120923,35388,0.2926,51.494,-0.02,London
Greenwich,E09000011,186722,11518,0.0617,101045,20004,0.198,199163,41082,66120,0.2063,0.332,114051,29088,0.255,51.547,-0.016,London
Harrow,E09000015,174751,7854,0.0449,84268,18324,0.2174,190998,31997,70218,0.1675,0.3676,89642,26495,0.2956,51.575,-0.11,London
Havering,E09000016,171128,7627,0.0446,97199,10337,0.1063,192844,50951,37498,0.2642,0.1944,101276,16019,0.1582,51.591,-0.144,London
Hillingdon,E09000017,199926,8693,0.0435,100214,18141,0.181,217043,41548,60854,0.1914,0.2804,109228,28276,0.2589,51.62,-0.1,London
Hounslow,E09000018,190157,8815,0.0464,94902,22206,0.234,202424,35084,69955,0.1733,0.3456,102961,31788,0.3087,51.477,-0.054,London
Kingston upon Thames,E09000021,119673,3850,0.0322,63639,14312,0.2249,129790,17400,53782,0.1341,0.4144,65628,17911,0.2729,51.427,-0.067,London
Merton,E09000024,149598,6072,0.0406,78757,19503,0.2476,160840,24378,66091,0.1516,0.4109,81726,23748,0.2906,51.548,-0.064,London
Redbridge,E09000026,199544,10590,0.0531,99105,22657,0.2286,216112,39877,73299,0.1845,0.3392,103714,31576,0.3045,51.471,-0.148,London
Richmond upon Thames,E09000027,137779,4153,0.0301,79835,17440,0.2185,150052,15915,79584,0.1061,0.5304,80704,19970,0.2474,51.497,-0.113,London
Sutton,E09000029,138710,5429,0.0391,78174,12429,0.159,152158,28330,45775,0.1862,0.3008,82347,16683,0.2026,51.432,-0.197,London
Waltham Forest,E09000031,190978,11654,0.061,96861,25102,0.2592,203131,42262,60914,0.2081,0.2999,102901,28593,0.2779,51.601,-0.2,London
Bracknell Forest,E06000036,83116,2808,0.0338,45878,5734,0.125,89743,14639,27197,0.1631,0.3031,50245,7902,0.1573,54.041,-2.234,South East (England)
Brighton and Hove,E06000043,210792,7818,0.0371,121540,35959,0.2959,229024,36775,84423,0.1606,0.3686,121402,39684,0.3269,53.712,-1.676,South East (England)
Isle of Wight,E06000046,99747,4386,0.044,61085,10639,0.1742,115589,28078,26163,0.2429,0.2263,64775,13380,0.2066,53.631,-1.575,South East (England)
Medway,E06000035,194158,9469,0.0488,106209,18153,0.1709,210511,48226,40275,0.2291,0.1913,111457,22491,0.2018,53.964,-2.021,South East (England)
Milton Keynes,E06000042,181385,8640,0.0476,98584,17066,0.1731,193429,34850,54591,0.1802,0.2822,113103,23656,0.2092,53.718,-1.864,South East (England)
Portsmouth,E06000044,153705,6536,0.0425,85473,21098,0.2468,167256,35405,39630,0.2117,0.2369,86155,24669,0.2863,53.726,-1.49,South East (England)
Reading,E06000038,116808,5329,0.0456,62869,16394,0.2608,125582,21834,43690,0.1739,0.3479,67683,21623,0.3195,53.753,-1.566,South East (England)
Slough,E06000039,100458,5440,0.0542,50766,12348,0.2432,106645,21434,27560,0.201,0.2584,52423,16095,0.307,53.795,-1.549,South East (England)
Southampton,E06000045,180201,7631,0.0423,98254,24449,0.2488,195534,40991,48145,0.2096,0.2462,102290,29860,0.2919,53.713,-1.6,South East (England)
West Berkshire,E06000037,112054,3279,0.0293,62340,8555,0.1372,122731,21065,39406,0.1716,0.3211,66658,11431,0.1715,53.763,-1.756,South East (England)
Windsor and Maidenhead,E06000040,104247,3292,0.0316,58349,9432,0.1616,115900,18134,44500,0.1565,0.384,60929,12553,0.206,53.83,-1.563,South East (England)
Wokingham,E06000041,112273,2958,0.0263,60332,6755,0.112,123010,16226,49184,0.1319,0.3998,69165,9782,0.1414,53.798,-1.752,South East (England)
Eastbourne,E07000061,70473,2874,0.0408,45012,10494,0.2331,82691,19215,20194,0.2324,0.2442,45610,12118,0.2657,51.7,-1.41,South East (England)
Hastings,E07000062,66036,3621,0.0548,41159,11863,0.2882,73488,18649,15604,0.2538,0.2123,40451,11572,0.2861,51.79,-1.15,South East (England)
Lewes,E07000063,69269,2319,0.0335,42181,6108,0.1448,80534,17276,23690,0.2145,0.2942,43688,7384,0.169,51.7,-1.22,South East (England)
Rother,E07000064,62861,2019,0.0321,40877,5742,0.1405,76359,18858,19438,0.247,0.2546,42102,6827,0.1622,51.79,-1.4,South East (England)
Wealden,E07000065,105879,2670,0.0252,62676,6973,0.1113,122443,24347,35360,0.1988,0.2888,68266,9203,0.1348,51.9,-1.47,South East (England)
Basingstoke and Deane,E07000084,123243,3999,0.0324,69315,8172,0.1179,133947,23226,40793,0.1734,0.3045,76645,11800,0.154,51.3,-0.8,South East (England)
East Hampshire,E07000085,83522,2133,0.0255,47258,5517,0.1167,94019,15857,31844,0.1687,0.3387,52719,6876,0.1304,51.3,-0.8,South East (England)
Eastleigh,E07000086,91582,2768,0.0302,52177,6438,0.1234,101482,17907,28326,0.1765,0.2791,56924,7936,0.1394,51.3,-0.8,South East (England)
Fareham,E07000087,81198,2117,0.0261,46579,4645,0.0997,92153,16181,27419,0.1756,0.2975,48639,6106,0.1255,51.3,-0.8,South East (England)
Gosport,E07000088,59499,2520,0.0424,35430,5777,0.1631,66402,14347,14265,0.2161,0.2148,35920,6714,0.1869,51.3,-0.8,South East (England)
Hart,E07000089,66087,1570,0.0238,35510,4286,0.1207,72681,9815,27248,0.135,0.3749,39965,5442,0.1362,51.3,-0.8,South East (England)
Havant,E07000090,86247,3444,0.0399,51311,5087,0.0991,98807,24746,22017,0.2504,0.2228,53589,6655,0.1242,51.3,-0.8,South East (England)
New Forest,E07000091,124798,3288,0.0263,76839,9293,0.1209,147514,31178,40184,0.2114,0.2724,77567,11124,0.1434,51.3,-0.8,South East (England)
Rushmoor,E07000092,69652,2593,0.0372,36344,6379,0.1755,74854,13947,18493,0.1863,0.2471,39303,8449,0.215,51.3,-0.8,South East (England)
Test Valley,E07000093,84652,2133,0.0252,47626,6128,0.1287,94414,17330,28825,0.1836,0.3053,54706,8070,0.1475,51.3,-0.8,South East (England)
Winchester,E07000094,84495,1943,0.023,46865,6604,0.1409,95110,13828,38669,0.1454,0.4066,51712,9096,0.1759,51.3,-0.8,South East (England)
Ashford,E07000105,84252,3058,0.0363,47787,6849,0.1433,93411,19777,23007,0.2117,0.2463,53583,9499,0.1773,52.92,-1.48,South East (England)
Canterbury,E07000106,111867,3410,0.0305,60771,11876,0.1954,125971,25778,34385,0.2046,0.273,63792,14024,0.2198,52.95,-1.36,South East (England)
Dartford,E07000107,70488,3099,0.044,40081,6385,0.1593,77342,16334,17053,0.2112,0.2205,45694,8275,0.1811,52.92,-1.82,South East (England)
Dover,E07000108,80786,3607,0.0446,48310,8254,0.1709,91382,22885,20071,0.2504,0.2196,50552,9595,0.1898,52.84,-1.67,South East (England)
Gravesham,E07000109,73191,3714,0.0507,40431,6524,0.1614,80964,19742,16164,0.2438,0.1996,41724,7950,0.1905,52.81,-1.71,South East (England)
Maidstone,E07000110,113231,3848,0.034,63447,9256,0.1459,125476,25915,32154,0.2065,0.2563,71208,12339,0.1733,52.76,-1.77,South East (England)
Sevenoaks,E07000111,82098,2332,0.0284,47020,5057,0.1075,92481,17753,29580,0.192,0.3198,49014,6548,0.1336,52.7,-1.79,South East (England)
Folkestone and Hythe,E07000112,77938,3576,0.0459,47379,10520,0.222,88760,21900,19324,0.2467,0.2177,48337,10870,0.2249,52.63,-1.75,South East (England)
Swale,E07000113,98607,4538,0.046,55585,8446,0.1519,108539,29703,20535,0.2737,0.1892,60495,11102,0.1835,52.61,-1.67,South East (England)
Thanet,E07000114,94452,5358,0.0567,59513,14151,0.2378,108556,30784,21284,0.2836,0.1961,62200,16334,0.2626,52.57,-1.58,South East (England)
Tonbridge and Malling,E07000115,86435,2580,0.0298,48140,4869,0.1011,95821,19135,25967,0.1997,0.271,53571,6694,0.125,52.68,-1.47,South East (England)
Tunbridge Wells,E07000116,82052,2421,0.0295,47174,7995,0.1695,91483,15620,31687,0.1707,0.3464,48224,9268,0.1922,52.66,-1.63,South East (England)
Cherwell,E07000177,103269,2936,0.0284,56728,9206,0.1623,113422,22331,31830,0.1969,0.2806,65893,13033,0.1978,52.13,-0.88,South East (England)
Oxford,E07000178,118437,3801,0.0321,55375,15634,0.2823,126725,17287,53977,0.1364,0.4259,55239,17762,0.3215,52.19,-0.86,South East (England)
South Oxfordshire,E07000179,96892,2446,0.0252,54104,7211,0.1333,108232,17827,39727,0.1647,0.3671,61498,9784,0.1591,52.06,-0.76,South East (England)
Vale of White Horse,E07000180,87477,2190,0.025,49407,6733,0.1363,97867,16328,36420,0.1668,0.3721,57497,9002,0.1566,52.12,-0.76,South East (England)
West Oxfordshire,E07000181,76163,1730,0.0227,43241,6423,0.1485,85312,15054,28076,0.1765,0.3291,47981,8570,0.1786,52.18,-0.77,South East (England)
Elmbridge,E07000207,92027,2457,0.0267,52922,8006,0.1513,103005,13628,45170,0.1323,0.4385,55587,9725,0.175,53.804,-1.546,South East (England)
Epsom and Ewell,E07000208,54170,1480,0.0273,29784,3962,0.133,60371,9559,21720,0.1583,0.3598,31321,5048,0.1612,53.69,-1.493,South East (England)
Guildford,E07000209,102054,2750,0.0269,53973,8522,0.1579,112589,15993,44496,0.142,0.3952,55760,10930,0.196,53.736,-1.34,South East (England)
Mole Valley,E07000210,60778,1529,0.0252,35828,4270,0.1192,69580,11111,26396,0.1597,0.3794,37139,5238,0.141,53.66,-1.51,South East (England)
Reigate and Banstead,E07000211,99173,2892,0.0292,55423,7169,0.1294,110725,18363,37602,0.1658,0.3396,59849,9387,0.1568,53.668,-1.648,South East (England)
Runnymede,E07000212,59793,1630,0.0273,32714,4974,0.152,66653,12176,19945,0.1827,0.2992,34838,6652,0.1909,53.604,-1.486,South East (England)
Spelthorne,E07000213,69916,2277,0.0326,39512,5004,0.1266,78089,15947,20262,0.2042,0.2595,41804,7487,0.1791,53.548,-1.478,South East (England)
Surrey Heath,E07000214,62565,1731,0.0277,33546,4073,0.1214,69302,10387,23887,0.1499,0.3447,36008,5531,0.1536,53.543,-1.35,South East (England)
Tandridge,E07000215,59457,1645,0.0277,33342,3666,0.11,66922,11467,22063,0.1713,0.3297,35623,4730,0.1328,53.518,-1.22,South East (England)
Waverley,E07000216,85617,2068,0.0242,49280,5577,0.1132,97478,14790,39125,0.1517,0.4014,52448,7703,0.1469,53.527,-1.128,South East (England)
Woking,E07000217,71722,2313,0.0322,39467,6186,0.1567,79185,12042,30374,0.1521,0.3836,41438,8738,0.2109,53.484,-1.148,South East (England)
Adur,E07000223,43860,1466,0.0334,26957,3079,0.1142,50579,12936,11122,0.2558,0.2199,27678,4095,0.148,51.27,-0.53,South East (England)
Arun,E07000224,106071,3538,0.0334,66706,10211,0.1531,126164,31364,28732,0.2486,0.2277,72661,13225,0.182,51.13,-0.51,South East (England)
Chichester,E07000225,81037,2267,0.028,49848,7423,0.1489,95161,18566,30820,0.1951,0.3239,54118,9807,0.1812,51.15,-0.35,South East (England)
Crawley,E07000226,77348,3490,0.0451,42727,6214,0.1454,84549,16995,18214,0.201,0.2154,45502,9015,0.1981,51.15,-0.42,South East (England)
Horsham,E07000227,94318,2557,0.0271,54923,6480,0.118,106758,17407,34814,0.1631,0.3261,62370,9055,0.1452,51.31,-0.75,South East (England)
Mid Sussex,E07000228,100252,2435,0.0243,57409,7322,0.1275,112755,16731,37917,0.1484,0.3363,63349,9710,0.1533,51.24,-0.75,South East (England)
Worthing,E07000229,74338,2578,0.0347,47044,9102,0.1935,85971,18319,22314,0.2131,0.2596,49538,10916,0.2204,51.21,-0.69,South East (England)
Bath and North East Somerset,E06000022,130550,3548,0.0272,73515,12447,0.1693,146439,25140,48910,0.1717,0.334,79250,15309,0.1932,54.66,-0.993,South West (England)
"Bristol, City of",E06000023,321506,13817,0.043,182747,43028,0.2355,349653,70478,114621,0.2016,0.3278,191638,50213,0.262,54.53,-0.643,South West (England)
Cornwall,E06000052,388858,12694,0.0326,230389,38605,0.1676,442332,99237,110518,0.2243,0.2499,250533,49371,0.1971,51.45,-0.97,South West (England)
Isles of Scilly,E06000053,1622,18,0.0111,989,294,0.2973,1857,264,613,0.1422,0.3301,939,344,0.3663,51.387,-1.003,South West (England)
North Somerset,E06000024,145352,4350,0.0299,88227,14270,0.1617,165914,32539,47041,0.1961,0.2835,94648,17420,0.1841,53.944,-1.082,South West (England)
Plymouth,E06000026,191786,8136,0.0424,109307,22026,0.2015,211502,47073,45379,0.2226,0.2146,114557,25921,0.2263,53.745,-2.478,South West (England)
South Gloucestershire,E06000025,192468,5354,0.0278,107538,14600,0.1358,212837,39618,56805,0.1861,0.2669,118101,18588,0.1574,53.767,-2.715,South West (England)
Swindon,E06000030,154080,6518,0.0423,88360,14169,0.1604,167774,34424,38097,0.2052,0.2271,95861,18520,0.1932,53.748,-2.234,South West (England)
Torbay,E06000027,94000,4275,0.0455,59010,13696,0.2321,109290,28215,22564,0.2582,0.2065,62992,16767,0.2662,53.645,-2.605,South West (England)
Wiltshire,E06000054,339595,9999,0.0294,194194,29968,0.1543,380013,70782,112067,0.1863,0.2949,215081,37422,0.174,51.445,-0.769,South West (England)
East Devon,E07000040,92782,2270,0.0245,59071,8041,0.1361,112002,23597,32573,0.2107,0.2908,66788,10697,0.1602,50.967,-1.383,South West (England)
Exeter,E07000041,89544,2739,0.0306,49242,10336,0.2099,99066,18156,28291,0.1833,0.2856,52554,13107,0.2494,51.09,-1.308,South West (England)
Mid Devon,E07000042,55847,1513,0.0271,32758,5091,0.1554,63200,14323,16716,0.2266,0.2645,35631,6612,0.1856,51.007,-1.143,South West (England)
North Devon,E07000043,67507,2052,0.0304,40001,7341,0.1835,77378,18613,17732,0.2405,0.2292,43198,8813,0.204,51.0,-2.5,South West (England)
South Hams,E07000044,60617,1422,0.0235,36858,5259,0.1427,69868,12047,23946,0.1724,0.3427,39337,6326,0.1608,51.0,-2.5,South West (England)
Teignbridge,E07000045,89471,2477,0.0277,54003,8358,0.1548,103738,22353,29014,0.2155,0.2797,59837,10683,0.1785,51.83,-2.1,South West (England)
Torridge,E07000046,46510,1586,0.0341,27986,4746,0.1696,53321,13550,11552,0.2541,0.2167,30458,6152,0.202,51.87,-2.24,South West (England)
West Devon,E07000047,38941,1197,0.0307,22725,3409,0.15,44652,9077,13410,0.2033,0.3003,24818,4526,0.1824,51.91,-2.08,South West (England)
Cheltenham,E07000078,86090,2878,0.0334,50929,10925,0.2145,96008,15904,34782,0.1657,0.3623,52899,12378,0.234,52.57,-1.82,South West (England)
Cotswold,E07000079,60075,1491,0.0248,36236,5518,0.1523,69138,12758,23267,0.1845,0.3365,40597,7049,0.1736,52.67,-2.02,South West (England)
Forest of Dean,E07000080,60341,2084,0.0345,34167,3835,0.1122,67947,16664,16285,0.2452,0.2397,37217,5031,0.1352,51.0,-2.5,South West (England)
Gloucester,E07000081,88942,3791,0.0426,50363,8755,0.1738,97531,21247,21651,0.2178,0.222,55406,11803,0.213,51.0,-2.5,South West (England)
Stroud,E07000082,81955,2306,0.0281,47794,5791,0.1212,92251,16788,30324,0.182,0.3287,52378,7153,0.1366,51.0,-2.5,South West (England)
Tewkesbury,E07000083,59685,1682,0.0282,35126,4351,0.1239,67358,12667,20329,0.1881,0.3018,40931,5841,0.1427,51.0,-2.5,South West (England)
Mendip,E07000187,78653,2297,0.0292,46157,7136,0.1546,88882,19054,24769,0.2144,0.2787,50294,9077,0.1805,52.58,-1.13,South West (England)
Sedgemoor,E07000188,82903,2972,0.0358,48801,7113,0.1458,93922,23534,20778,0.2506,0.2212,53904,9651,0.179,52.5,-1.21,South West (England)
South Somerset,E07000189,115790,3170,0.0274,69501,9272,0.1334,132625,29089,33228,0.2193,0.2505,75936,12734,0.1677,52.53,-1.3,South West (England)
Isle of Anglesey,W06000001,50818,2381,0.0469,30594,4324,0.1413,57890,13991,15098,0.2417,0.2608,30824,4799,0.1557,53.31,-3.83,Wales
Gwynedd,W06000002,88913,3176,0.0357,52473,8060,0.1536,100923,23365,26673,0.2315,0.2643,51105,8865,0.1735,53.283,-3.725,Wales
Conwy,W06000003,81906,3362,0.041,51177,8534,0.1668,96102,24577,24473,0.2557,0.2547,52235,9920,0.1899,53.225,-3.75,Wales
Denbighshire,W06000004,67676,2857,0.0422,40546,6446,0.159,76781,19540,18615,0.2545,0.2424,42387,8492,0.2003,53.185,-3.43,Wales
Flintshire,W06000005,112325,4332,0.0386,63781,6729,0.1055,123862,29116,27791,0.2351,0.2244,66911,8839,0.1321,53.08,-3.43,Wales
Wrexham,W06000006,98691,4128,0.0418,57029,6775,0.1188,109026,29094,24851,0.2669,0.2279,57915,9166,0.1583,52.938,-3.15,Wales
Powys,W06000023,96069,2928,0.0305,58345,8638,0.1481,110083,27273,28991,0.2477,0.2634,60182,10760,0.1788,53.069,-3.64,Wales
Ceredigion,W06000008,57405,1469,0.0256,31562,6275,0.1988,64692,12824,18064,0.1982,0.2792,30891,6371,0.2062,52.6,-3.8,Wales
Pembrokeshire,W06000009,88049,3555,0.0404,53122,7188,0.1353,100362,24668,24849,0.2458,0.2476,55487,9114,0.1643,52.415,-3.96,Wales
Carmarthenshire,W06000010,132930,4962,0.0373,78829,9301,0.118,150763,40334,36036,0.2675,0.239,81759,12171,0.1489,51.86,-3.83,Wales
Swansea,W06000011,176971,6831,0.0386,103497,15260,0.1474,197627,47316,51081,0.2394,0.2585,104962,18901,0.1801,51.7,-3.38,Wales
Neath Port Talbot,W06000012,102986,4630,0.045,60393,6186,0.1024,115175,35607,21636,0.3092,0.1879,62377,8652,0.1387,51.626,-3.94,Wales
Bridgend,W06000013,102805,4687,0.0456,58515,7188,0.1228,113890,32282,25699,0.2834,0.2256,62360,9526,0.1528,51.636,-3.68,Wales
Vale of Glamorgan,W06000014,91816,3956,0.0431,53505,7813,0.146,102504,20964,30527,0.2045,0.2978,57449,8977,0.1563,51.664,-3.42,Wales
Cardiff,W06000015,260268,11566,0.0444,142557,31220,0.219,283115,58688,91522,0.2073,0.3233,147333,35785,0.2429,51.48,-3.18,Wales
Rhondda Cynon Taff,W06000016,172047,8104,0.0471,99663,13604,0.1365,190116,60403,37168,0.3177,0.1955,103339,18238,0.1765,51.61,-3.0,Wales
Merthyr Tydfil,W06000024,43377,2481,0.0572,24264,2809,0.1158,47842,16407,8493,0.3429,0.1775,25783,3967,0.1539,52.73,-3.86,Wales
Caerphilly,W06000018,130950,6731,0.0514,74479,7995,0.1073,143825,45102,26843,0.3136,0.1866,76255,10154,0.1332,51.58,-2.99,Wales
Blaenau Gwent,W06000019,51809,3557,0.0687,30416,3892,0.128,57321,20662,8689,0.3605,0.1516,30340,4847,0.1598,52.045,-4.75,Wales
Torfaen,W06000020,66107,3163,0.0478,38524,3315,0.0861,73833,21329,14976,0.2889,0.2028,40241,4495,0.1117,52.412,-4.082,Wales
Monmouthshire,W06000021,66107,2217,0.0335,38233,4130,0.108,75080,15521,24839,0.2067,0.3308,40922,5582,0.1364,52.8,-4.1,Wales
Newport,W06000022,105141,5616,0.0534,61172,8572,0.1401,116348,31454,27202,0.2703,0.2338,66054,11019,0.1668,53.0,-4.1,Wales
